20x3,20,20,3
25x3,25,25,3
25x4,25,25,4
30x3,30,30,3
30x4,30,30,4
35x4,35,35,4
40x4,40,40,4
40x5,40,40,5
45x4.5,45,45,4.5
50x4,50,50,4
50x5,50,50,5
50x6,50,50,6
60x5,60,60,5
60x6,60,60,6
60x8,60,60,8
65x7,65,65,7
70x6,70,70,6
70x7,70,70,7
75x6,75,75,6
75x8,75,75,8
80x8,80,80,8
80x10,80,80,10
90x7,90,90,7
90x8,90,90,8
90x9,90,90,9
90x10,90,90,10
100x8,100,100,8
100x10,100,100,10
100x12,100,100,12
110x10,110,110,10
110x12,110,110,12
120x10,120,120,10
120x11,120,120,11
120x12,120,120,12
120x13,120,120,13
120x15,120,120,15
130x12,130,130,12
140x10,140,140,10
140x13,140,140,13
150x10,150,150,10
150x12,150,150,12
150x14,150,150,14
150x15,150,150,15
150x18,150,150,18
160x14,160,160,14
160x15,160,160,15
160x16,160,160,16
160x17,160,160,17
180x13,180,180,13
180x14,180,180,14
180x15,180,180,15
180x16,180,180,16
180x17,180,180,17
180x18,180,180,18
180x19,180,180,19
180x20,180,180,20
200x15,200,200,15
200x16,200,200,16
200x17,200,200,17
200x18,200,200,18
200x19,200,200,19
200x20,200,200,20
200x21,200,200,21
200x22,200,200,22
200x23,200,200,23
200x24,200,200,24
200x25,200,200,25
200x26,200,200,26
203x19,203,203,19
203x22.2,203,203,22.2
203x25.4,203,203,25.4
203x28.6,203,203,28.6
250x20,250,250,20
250x21,250,250,21
250x22,250,250,22
250x23,250,250,23
250x24,250,250,24
250x25,250,250,25
250x26,250,250,26
250x27,250,250,27
250x28,250,250,28
250x35,250,250,35
